action,simp,x,y
Insert Ethernet,Insert,0.46118385,0.24845836
Insert Ethernet,Insert,0.41300151,-0.24104034
Insert Ethernet,Insert,0.72489321,-0.2844349
Insert Ethernet,Insert,0.69901365,-0.29813564
Insert Ethernet,Insert,0.41276767,-0.4335833
Insert Ethernet,Insert,0.74179654,0.11961609
Insert Ethernet,Insert,0.44495197,-0.01000718
Insert Ethernet,Insert,0.45369948,-0.0344078
Insert Ethernet,Insert,0.63055581,-0.18452417
Insert Ethernet,Insert,0.24099372,-0.49854751
Insert Ethernet,Insert,0.49477752,-0.49245238
Insert Ethernet,Insert,0.7182038,0.1123665
Insert Ethernet,Insert,0.38807646,0.24270038
Insert Ethernet,Insert,0.49223763,0.31981333
Insert Ethernet,Insert,0.48107735,-0.44737622
Insert Ethernet,Insert,0.37360222,-0.16102366
Insert Ethernet,Insert,0.35526454,0.05447194
Insert Ethernet,Insert,0.61919024,0.43816085
Insert Ethernet,Insert,0.30863566,0.05696549
Insert Ethernet,Insert,0.68867099,-0.31955068
Insert Ethernet,Insert,0.40222719,0.21366091
Insert Ethernet,Insert,0.42240815,-0.28178
Insert Ethernet,Insert,0.71043432,0.28228131
Insert Ethernet,Insert,0.45485569,-0.0421295
Insert Ethernet,Insert,0.30003876,-0.18286863
Insert Ethernet,Insert,0.71292032,0.23489524
Insert Ethernet,Insert,0.75112886,0.18711993
Insert Ethernet,Insert,0.57554054,-0.39634993
Insert Ethernet,Insert,0.70259799,0.34691068
Insert Ethernet,Insert,0.36028821,0.23296767
Insert Ethernet,Insert,0.48302856,0.00564095
Insert large gear,Insert,0.76433761,0.0653903486
Insert large gear,Insert,0.62123987,-0.117042794
Insert large gear,Insert,0.42105331,-0.0311994135
Insert large gear,Insert,0.38825974,-0.389008324
Insert large gear,Insert,0.64788899,-0.519678087
Insert large gear,Insert,0.70661789,-0.220264115
Insert large gear,Insert,0.5359774,-0.109950454
Insert large gear,Insert,0.44245413,0.190642516
Insert large gear,Insert,0.6278344,0.0857034931
Insert large gear,Insert,0.51484207,0.308593671
Insert large gear,Insert,0.72875723,0.289241414
Insert large gear,Insert,0.65812246,0.168767914
Insert large gear,Insert,0.66170476,-0.283518562
Insert large gear,Insert,0.65108234,0.0392414472
Insert large gear,Insert,0.68406424,0.278292459
Insert large gear,Insert,0.68314207,-0.244836622
Insert large gear,Insert,0.54622879,-0.0849198548
Insert large gear,Insert,0.38913382,0.000337419332
Insert large gear,Insert,0.4824986,-0.359147337
Insert large gear,Insert,0.39628993,-0.208488881
Insert large gear,Insert,0.45173174,0.0375690411
Insert large gear,Insert,0.38043193,-0.038677628
Insert large gear,Insert,0.31135858,-0.579270274
Insert large gear,Insert,0.39549056,-0.602565998
Insert large gear,Insert,0.45950406,-0.331363801
Insert large gear,Insert,0.45378798,0.593866076
Insert large gear,Insert,0.72259215,0.0199242226
Insert large gear,Insert,0.40554007,-0.106752138
Insert large gear,Insert,0.6364453,-0.130180602
Insert large gear,Insert,0.37902459,0.261756855
Insert large gear,Insert,0.6560141,0.270764145
Insert large gear,Insert,0.6518455,0.271642283
Insert large gear,Insert,0.56885035,-0.367033336
Insert large gear,Insert,0.54317052,0.156977629
Insert large gear,Insert,0.57033268,-0.452740805
Insert large gear,Insert,0.24610651,-0.295707173
Insert large gear,Insert,0.46582814,0.364444461
Insert large gear,Insert,0.63240976,-0.0530366989
Insert large gear,Insert,0.53790654,-0.0497862727
Insert large gear,Insert,0.58707158,-0.0988054218
Insert large gear,Insert,0.70347908,-0.0352135712
Insert large gear,Insert,0.65990844,-0.123522805
Insert large gear,Insert,0.41490692,0.0919402732
Insert large gear,Insert,0.61443987,-0.22681005
Insert large gear,Insert,0.40079899,-0.125664908
Insert large gear,Insert,0.59043153,-0.0859559055
Insert large gear,Insert,0.59526204,-0.579231357
Insert large gear,Insert,0.50116865,0.580928749
Insert large gear,Insert,0.61179795,0.271215602
Insert large gear,Insert,0.62756565,-0.314754145
Insert large gear,Insert,0.42764687,0.00256026807
Insert large gear,Insert,0.39686033,0.0577955906
Insert large gear,Insert,0.49511661,-0.0622994301
Insert large gear,Insert,0.28063793,0.372557685
Insert large gear,Insert,0.61837177,-0.0367256019
Insert large gear,Insert,0.42607969,-0.225625035
Insert large gear,Insert,0.49616941,-0.388311354
Insert medium gear,Insert,0.764021,0.0286089
Insert medium gear,Insert,0.58149854,-0.19031112
Insert medium gear,Insert,0.46021848,0.01507106
Insert medium gear,Insert,0.43071162,-0.31402655
Insert medium gear,Insert,0.58541586,-0.52857558
Insert medium gear,Insert,0.69067316,-0.2800049
Insert medium gear,Insert,0.58087275,-0.07392306
Insert medium gear,Insert,0.43605395,0.23289655
Insert medium gear,Insert,0.5776543,0.06767525
Insert medium gear,Insert,0.5667294,0.35365518
Insert medium gear,Insert,0.69212725,0.27538041
Insert medium gear,Insert,0.68943883,0.06608501
Insert medium gear,Insert,0.60761939,-0.26274677
Insert medium gear,Insert,0.5935241,0.00760863
Insert medium gear,Insert,0.7034862,0.25313506
Insert medium gear,Insert,0.65547003,-0.25975544
Insert medium gear,Insert,0.58963329,-0.08332075
Insert medium gear,Insert,0.39410372,0.10794809
Insert medium gear,Insert,0.46825222,-0.2948657
Insert medium gear,Insert,0.45504186,-0.15990275
Insert medium gear,Insert,0.4291639,0.08825896
Insert medium gear,Insert,0.39201669,0.05900771
Insert medium gear,Insert,0.25890267,-0.5314473
Insert medium gear,Insert,0.33612431,-0.6483639
Insert medium gear,Insert,0.47589329,-0.37474729
Insert medium gear,Insert,0.48254878,0.57951859
Insert medium gear,Insert,0.73728884,-0.0687115
Insert medium gear,Insert,0.65976235,-0.2191046
Insert medium gear,Insert,0.42841069,0.20858188
Insert medium gear,Insert,0.63527435,0.23058218
Insert medium gear,Insert,0.73164734,0.17236107
Insert medium gear,Insert,0.51366913,-0.37482208
Insert medium gear,Insert,0.59050864,0.14054961
Insert medium gear,Insert,0.53800028,-0.42607964
Insert medium gear,Insert,0.29938152,-0.21617618
Insert medium gear,Insert,0.50420017,0.38167527
Insert medium gear,Insert,0.59106552,-0.04514481
Insert medium gear,Insert,0.47164262,-0.00648902
Insert medium gear,Insert,0.63988739,-0.12212284
Insert medium gear,Insert,0.72326839,-0.10739733
Insert medium gear,Insert,0.63989471,-0.1566879
Insert medium gear,Insert,0.40851314,0.16471046
Insert medium gear,Insert,0.43952318,-0.11318145
Insert medium gear,Insert,0.54177054,-0.06379938
Insert medium gear,Insert,0.56887635,-0.58755749
Insert medium gear,Insert,0.66511629,0.20177294
Insert medium gear,Insert,0.57960919,-0.33817632
Insert medium gear,Insert,0.38258201,0.11958852
Insert medium gear,Insert,0.44750248,0.10725506
Insert medium gear,Insert,0.52737383,-0.08557062
Insert medium gear,Insert,0.3473906,0.32561841
Insert medium gear,Insert,0.57882653,-0.02936832
Insert medium gear,Insert,0.48819973,-0.19952638
Insert medium gear,Insert,0.6979167,-0.42217035
Insert medium gear,Insert,0.44159483,-0.34820475
Insert round peg 1,Insert,0.56634111,0.16952037
Insert round peg 1,Insert,0.73358019,-0.00361703
Insert round peg 1,Insert,0.73252804,-0.31389266
Insert round peg 1,Insert,0.58811564,-0.18098522
Insert round peg 1,Insert,0.42981211,-0.26600778
Insert round peg 1,Insert,0.55536295,-0.33530887
Insert round peg 1,Insert,0.72558103,0.2379796
Insert round peg 1,Insert,0.59693456,0.36285626
Insert round peg 1,Insert,0.56499756,0.06433709
Insert round peg 1,Insert,0.42966589,0.17005606
Insert round peg 1,Insert,0.38499207,-0.03227064
Insert round peg 1,Insert,0.4265885,-0.02121468
Insert round peg 1,Insert,0.47819517,0.26603758
Insert round peg 1,Insert,0.38360941,0.09760373
Insert round peg 1,Insert,0.39156258,-0.10153272
Insert round peg 1,Insert,0.48481929,-0.33473794
Insert round peg 1,Insert,0.60820755,-0.12785077
Insert round peg 1,Insert,0.60258024,-0.09415264
Insert round peg 1,Insert,0.55629583,-0.45672667
Insert round peg 1,Insert,0.55629583,-0.45672667
Insert round peg 1,Insert,0.69926278,0.12874024
Insert round peg 1,Insert,0.6952251,-0.04884468
Insert round peg 1,Insert,0.46094816,-0.27573265
Insert round peg 1,Insert,0.35054047,-0.34183091
Insert round peg 1,Insert,0.23098167,-0.55671931
Insert round peg 1,Insert,0.33608089,0.30955063
Insert round peg 1,Insert,0.37989714,-0.12353402
Insert round peg 1,Insert,0.5696171,-0.35316083
Insert round peg 1,Insert,0.37268422,-0.28284898
Insert round peg 1,Insert,0.60948529,0.01970374
Insert round peg 1,Insert,0.59342116,-0.04859511
Insert round peg 1,Insert,0.52907164,-0.1236125
Insert round peg 1,Insert,0.30189679,-0.33544359
Insert round peg 1,Insert,0.33798613,-0.53784314
Insert round peg 1,Insert,0.57840648,0.07595761
Insert round peg 1,Insert,0.50787215,0.22274086
Insert round peg 1,Insert,0.6054683,0.27235531
Insert round peg 1,Insert,0.42215136,-0.31453993
Insert round peg 1,Insert,0.42722648,-0.02616367
Insert round peg 1,Insert,0.48812572,0.11939548
Insert round peg 1,Insert,0.66987972,0.29147124
Insert round peg 1,Insert,0.46689775,0.10406095
Insert round peg 1,Insert,0.54268538,-0.4351377
Insert round peg 1,Insert,0.53823272,0.22830538
Insert round peg 1,Insert,0.57797495,-0.27985908
Insert round peg 1,Insert,0.56110918,0.28750033
Insert round peg 1,Insert,0.40529405,0.04254154
Insert round peg 1,Insert,0.43123986,-0.09337369
Insert round peg 1,Insert,0.73061925,0.07693011
Insert round peg 1,Insert,0.70745939,0.0420444
Insert round peg 1,Insert,0.45445809,-0.34773663
Insert round peg 1,Insert,0.65003005,0.21108852
Insert round peg 1,Insert,0.50869622,0.27026745
Insert round peg 1,Insert,0.55208018,-0.47994061
Insert round peg 1,Insert,0.60823916,-0.07795596
Insert round peg 2,Insert,0.41379503,0.06562073
Insert round peg 2,Insert,0.65858522,0.19250124
Insert round peg 2,Insert,0.77462791,-0.04977653
Insert round peg 2,Insert,0.73330857,-0.39739234
Insert round peg 2,Insert,0.6577125,-0.16661331
Insert round peg 2,Insert,0.44374864,-0.14573832
Insert round peg 2,Insert,0.48868009,-0.37678337
Insert round peg 2,Insert,0.73015196,0.16584154
Insert round peg 2,Insert,0.65933234,0.32692714
Insert round peg 2,Insert,0.47640878,0.07164653
Insert round peg 2,Insert,0.41445671,0.31291967
Insert round peg 2,Insert,0.37107785,0.03098179
Insert round peg 2,Insert,0.52872434,0.01435363
Insert round peg 2,Insert,0.54960908,0.32791971
Insert round peg 2,Insert,0.34562572,0.16658681
Insert round peg 2,Insert,0.37862589,-0.12640539
Insert round peg 2,Insert,0.41273286,-0.29668325
Insert round peg 2,Insert,0.55936629,-0.18395258
Insert round peg 2,Insert,0.68694989,-0.09622588
Insert round peg 2,Insert,0.49525182,-0.47268851
Insert round peg 2,Insert,0.7055766,0.07445194
Insert round peg 2,Insert,0.65513255,-0.17178151
Insert round peg 2,Insert,0.52141125,-0.32550334
Insert round peg 2,Insert,0.44541371,-0.34520606
Insert round peg 2,Insert,0.19035962,-0.5017182
Insert round peg 2,Insert,0.38546416,-0.0516944
Insert round peg 2,Insert,0.52035045,-0.38302234
Insert round peg 2,Insert,0.35501312,-0.20490678
Insert round peg 2,Insert,0.55915137,-0.02013207
Insert round peg 2,Insert,0.37984711,0.18554757
Insert round peg 2,Insert,0.65660096,-0.07465874
Insert round peg 2,Insert,0.44040302,-0.09971586
Insert round peg 2,Insert,0.3139183,-0.28300558
Insert round peg 2,Insert,0.25425751,-0.55546141
Insert round peg 2,Insert,0.50735352,0.06683378
Insert round peg 2,Insert,0.61825269,0.27901233
Insert round peg 2,Insert,0.67433429,0.25250966
Insert round peg 2,Insert,0.34757751,-0.24285862
Insert round peg 2,Insert,0.42980215,0.04632216
Insert round peg 2,Insert,0.55913068,0.15743566
Insert round peg 2,Insert,0.69746815,0.21841899
Insert round peg 2,Insert,0.53931479,0.11666909
Insert round peg 2,Insert,0.49981093,-0.40753242
Insert round peg 2,Insert,0.62332183,0.2240741
Insert round peg 2,Insert,0.63556172,-0.27739925
Insert round peg 2,Insert,0.46634916,0.23715651
Insert round peg 2,Insert,0.37837739,0.11280082
Insert round peg 2,Insert,0.50302533,-0.08464564
Insert round peg 2,Insert,0.72264254,0.00643866
Insert round peg 2,Insert,0.70066792,-0.06001959
Insert round peg 2,Insert,0.3735129,-0.31603708
Insert round peg 2,Insert,0.63984482,0.09478234
Insert round peg 2,Insert,0.57411214,0.27789901
Insert round peg 2,Insert,0.48449459,-0.49743561
Insert round peg 2,Insert,0.68545948,-0.11854297
Insert round peg 3,Insert,0.65084105,0.16113681
Insert round peg 3,Insert,0.71166029,-0.07170226
Insert round peg 3,Insert,0.53874902,-0.12172147
Insert round peg 3,Insert,0.49846127,-0.50868783
Insert round peg 3,Insert,0.75883213,-0.43248111
Insert round peg 3,Insert,0.66511757,-0.12075942
Insert round peg 3,Insert,0.44597651,-0.09844357
Insert round peg 3,Insert,0.50634359,0.02737867
Insert round peg 3,Insert,0.58861229,0.05129382
Insert round peg 3,Insert,0.71984288,0.15794763
Insert round peg 3,Insert,0.41393169,0.22775854
Insert round peg 3,Insert,0.6358138,0.37888964
Insert round peg 3,Insert,0.53932056,0.20358797
Insert round peg 3,Insert,0.7008026,-0.12892898
Insert round peg 3,Insert,0.71447629,0.15317503
Insert round peg 3,Insert,0.55564509,0.29424211
Insert round peg 3,Insert,0.66390338,-0.09955139
Insert round peg 3,Insert,0.43111008,-0.06422677
Insert round peg 3,Insert,0.61483732,-0.33312369
Insert round peg 3,Insert,0.32982764,-0.34496244
Insert round peg 3,Insert,0.51708002,-0.0525098
Insert round peg 3,Insert,0.42255358,-0.10770312
Insert round peg 3,Insert,0.45193862,-0.59097118
Insert round peg 3,Insert,0.51584373,-0.57391369
Insert round peg 3,Insert,0.33665629,-0.28395955
Insert round peg 3,Insert,0.33700578,0.56949128
Insert round peg 3,Insert,0.60272206,0.09503352
Insert round peg 3,Insert,0.30364323,-0.19422307
Insert round peg 3,Insert,0.5704929,-0.08738501
Insert round peg 3,Insert,0.34865145,0.09746747
Insert round peg 3,Insert,0.58741576,0.31894787
Insert round peg 3,Insert,0.67984874,-0.31266201
Insert round peg 3,Insert,0.44376259,0.09074832
Insert round peg 3,Insert,0.56531654,-0.32091175
Insert round peg 3,Insert,0.13610693,-0.29979213
Insert round peg 3,Insert,0.3791126,0.22835402
Insert round peg 3,Insert,0.7133253,0.02495473
Insert round peg 3,Insert,0.65269973,0.02688005
Insert round peg 3,Insert,0.51148076,-0.04481009
Insert round peg 3,Insert,0.66806451,0.05854725
Insert round peg 3,Insert,0.73319272,-0.06907637
Insert round peg 3,Insert,0.51981544,0.06718085
Insert round peg 3,Insert,0.67109717,-0.07722568
Insert round peg 3,Insert,0.28716347,-0.30389039
Insert round peg 3,Insert,0.32673059,-0.32813846
Insert round peg 3,Insert,0.69667701,-0.00178105
Insert round peg 3,Insert,0.72075055,-0.50700442
Insert round peg 3,Insert,0.43139444,0.52076018
Insert round peg 3,Insert,0.5418084,0.31610772
Insert round peg 3,Insert,0.65987537,-0.2531721
Insert round peg 3,Insert,0.49150097,-0.06410273
Insert round peg 3,Insert,0.44514292,-0.0274296
Insert round peg 3,Insert,0.36710985,-0.05971196
Insert round peg 3,Insert,0.40343999,0.09472474
Insert round peg 3,Insert,0.69226444,0.06549005
Insert round peg 3,Insert,0.36536194,-0.33153461
Insert round peg 3,Insert,0.6360974,-0.34931382
Insert round peg 4,Insert,0.64492293,-0.07427759
Insert round peg 4,Insert,0.4535219,-0.02215253
Insert round peg 4,Insert,0.50106366,0.10088684
Insert round peg 4,Insert,0.49526764,-0.22817614
Insert round peg 4,Insert,0.51310091,-0.39815199
Insert round peg 4,Insert,0.64195869,-0.33749307
Insert round peg 4,Insert,0.6522671,-0.1524428
Insert round peg 4,Insert,0.4895109,0.28337591
Insert round peg 4,Insert,0.50146603,0.1699565
Insert round peg 4,Insert,0.64190809,0.2817071
Insert round peg 4,Insert,0.62752539,0.1693542
Insert round peg 4,Insert,0.6309269,-0.01297912
Insert round peg 4,Insert,0.53776772,-0.23072956
Insert round peg 4,Insert,0.50079351,0.05602383
Insert round peg 4,Insert,0.64632842,0.13902474
Insert round peg 4,Insert,0.54751125,-0.27726922
Insert round peg 4,Insert,0.62433517,-0.14803022
Insert round peg 4,Insert,0.53645672,0.09252795
Insert round peg 4,Insert,0.42793148,-0.22044278
Insert round peg 4,Insert,0.53457777,-0.19572128
Insert round peg 4,Insert,0.45035944,0.16573926
Insert round peg 4,Insert,0.49288527,0.03961649
Insert round peg 4,Insert,0.26099918,-0.41407163
Insert round peg 4,Insert,0.33144816,-0.56913091
Insert round peg 4,Insert,0.47738986,-0.47243236
Insert round peg 4,Insert,0.50571937,0.47131112
Insert round peg 4,Insert,0.63520184,-0.11939874
Insert round peg 4,Insert,0.57076941,-0.06731343
Insert round peg 4,Insert,0.61624842,-0.30991315
Insert round peg 4,Insert,0.5414549,0.23284964
Insert round peg 4,Insert,0.62558004,0.09304072
Insert round peg 4,Insert,0.49252058,-0.25391519
Insert round peg 4,Insert,0.66098015,0.05194982
Insert round peg 4,Insert,0.49271904,-0.51207646
Insert round peg 4,Insert,0.38845978,-0.32674429
Insert round peg 4,Insert,0.59435626,0.31147602
Insert round peg 4,Insert,0.5259148,0.05543383
Insert round peg 4,Insert,0.45044566,0.0940868
Insert round peg 4,Insert,0.62914304,-0.23900985
Insert round peg 4,Insert,0.60505091,-0.14776036
Insert round peg 4,Insert,0.5203663,-0.11546818
Insert round peg 4,Insert,0.45319151,0.25448453
Insert round peg 4,Insert,0.45091445,-0.14600044
Insert round peg 4,Insert,0.53772576,-0.10012741
Insert round peg 4,Insert,0.47756214,0.01170695
Insert round peg 4,Insert,0.48708263,-0.51825792
Insert round peg 4,Insert,0.63717214,0.56345213
Insert round peg 4,Insert,0.63428642,0.10373773
Insert round peg 4,Insert,0.48358861,-0.37170985
Insert round peg 4,Insert,0.50438238,0.15438387
Insert round peg 4,Insert,0.51636664,0.17024526
Insert round peg 4,Insert,0.58074458,-0.14387479
Insert round peg 4,Insert,0.50641467,0.293379
Insert round peg 4,Insert,0.47781759,0.00667624
Insert round peg 4,Insert,0.57929114,-0.25083014
Insert small gear,Insert,0.70535652,0.00747907
Insert small gear,Insert,0.54670184,-0.19484524
Insert small gear,Insert,0.47264727,-0.28632329
Insert small gear,Insert,0.56842027,-0.52338799
Insert small gear,Insert,0.76494719,-0.28802772
Insert small gear,Insert,0.59814155,-0.10990877
Insert small gear,Insert,0.53697267,0.045772
Insert small gear,Insert,0.60559538,0.34444593
Insert small gear,Insert,0.72952435,0.18823308
Insert small gear,Insert,0.71241925,0.05825803
